s/n,gene,ID
56,cyp26b1,ENSDARG00000077121
57,ankk1,ENSDARG00000056921
58,bean1,ENSDARG00000087413
59,bsx,ENSDARG00000068976
60,dbx1a,ENSDARG00000086393
61,dlx2a,ENSDARG00000079964
62,dlx5a,ENSDARG00000042296
63,emx1,ENSDARG00000039569
64,emx2,ENSDARG00000039701
65,emx3,ENSDARG00000020417
66,etv1,ENSDARG00000101959
67,eomesa,ENSDARG00000006640
68,tbr1b,ENSDARG00000004712
69,foxa2,ENSDARG00000003411
70,foxb1a,ENSDARG00000089042
71,foxg1a,ENSDARG00000070769
72,foxg1c,ENSDARG00000068380
73,foxp1b,ENSDARG00000014181
74,foxp2,ENSDARG00000005453
75,foxp4,ENSDARG00000076120
76,fabp7a,ENSDARG00000007697
77,fabp7b,ENSDARG00000034650
78,gbx1,ENSDARG00000071418
79,gbx2,ENSDARG00000002933
80,grm2a,ENSDARG00000004150
81,grm2b,ENSDARG00000007195
82,irx1b,ENSDARG00000056594
83,isl1,ENSDARG00000004023
84,lef1,ENSDARG00000031894
85,lhx1a,ENSDARG00000014018
86,lhx2b,ENSDARG00000031222
87,lhx5,ENSDARG00000057936
88,lhx6,ENSDARG00000006896
89,lhx8a,ENSDARG00000002330
90,lhx8b,ENSDARG00000042145
91,lhx9,ENSDARG00000056979
92,nkx2.1,ENSDARG00000019835
93,nkx2.2a,ENSDARG00000053298
94,meis1b,ENSDARG00000012078
95,meis2a,ENSDARG00000077840
96,meis2b,ENSDARG00000077840
97,nf1b,ENSDARG00000004184
98,nxph1,ENSDARG00000033447
99,otpa,ENSDARG00000014201
100,otpb,ENSDARG00000058379
101,pax3a,ENSDARG00000010192
102,pax6a,ENSDARG00000103379
103,pax6b,ENSDARG00000045936
104,pax7a,ENSDARG00000100398
105,pax7b,ENSDARG00000070818
106,pbx1a,ENSDARG00000100494
107,ptx3b,ENSDARG00000079515
108,prox3,ENSDARG00000088810
109,rbfox1,ENSDARG00000014746
110,six3a,ENSDARG00000058008
111,six3b,ENSDARG00000054879
112,sim1b,ENSDARG00000013789
113,sox1b,ENSDARG00000008131
114,sox6,ENSDARG00000015536
115,tshz1,ENSDARG00000005026
116,tshz2,ENSDARG00000079201
117,tshz3a,ENSDARG00000087394
118,tshz3b,ENSDARG00000103361
119,vax1,ENSDARG00000021916
120,zic1,ENSDARG00000015567
121,zic2a,ENSDARG00000015554
122,zic2b,ENSDARG00000037178
123,zic3,ENSDARG00000071497
124,zic4,ENSDARG00000031307
125,zic5,ENSDARG00000016022
126,zfhx4,ENSDARG00000075542
127,zfhx3,ENSDARG00000103057
128,gad1b,ENSDARG00000027419
129,gad2,ENSDARG00000015537
130,slc17a6a,ENSDARG00000001127
131,slc17a6b,ENSDARG00000041150
132,slc17a7a,ENSDARG00000016480
133,sst1.1,ENSDARG00000040799
134,sst7,ENSDARG00000031649
135,syn1,ENSDARG00000060368
136,syn2a,ENSDARG00000045945
137,syn2b,ENSDARG00000101054
138,penka,ENSDARG00000004869
139,penkb,ENSDARG00000036045
140,pomca,ENSDARG00000043135
141,pomcb,ENSDARG00000069307
142,npy,ENSDARG00000036222
143,tac1,ENSDARG00000014490
144,tac3a,ENSDARG00000093089
145,tac3b,ENSDARG00000097596
146,tph1a,ENSDARG00000029432
147,tph1b,ENSDARG00000036082
148,tph2,ENSDARG00000057239
149,pth1a,ENSDARG00000093738
150,pth1b,ENSDARG00000091961
151,pth2,ENSDARG00000022951
152,calb1,ENSDARG00000031598
153,calb2a,ENSDARG00000041062
154,calb2b,ENSDARG00000036344
155,cbln1,ENSDARG00000057296
156,cbln2b,ENSDARG00000077151
157,calr,ENSDARG00000076290
158,calr3a,ENSDARG00000103979
159,calr3b,ENSDARG00000102808
160,pvalb5,ENSDARG00000032836
161,pvalb6,ENSDARG00000009311
162,pvalb7,ENSDARG00000034705
163,pvalb8,ENSDARG00000037790
164,pvalb9,ENSDARG00000071601
165,camk1da,ENSDARG00000074905
166,camk1db,ENSDARG00000017446
167,camk1ga,ENSDARG00000044526
168,camk1a,ENSDARG00000060116
169,camk1gb,ENSDARG00000008788
170,camk1b,ENSDARG00000029474
171,camk2a,ENSDARG00000053617
172,camk2b2,ENSDARG00000100089
173,camk4,ENSDARG00000005372
174,arg1,ENSDARG00000057429
175,arg2,ENSDARG00000039269
176,avp,ENSDARG00000058567
177,cart4,ENSDARG00000070142
178,gal,ENSDARG00000091377
179,hcrt,ENSDARG00000070932
180,kiss1,ENSDARG00000075829
181,pmch,ENSDARG00000073959
182,tacr1a,ENSDARG00000035533
183,npvf,ENSDARG00000036227
184,nts,ENSDARG00000057887
185,oxt,ENSDARG00000042845
186,pdyn,ENSDARG00000087798
187,sst6,ENSDARG00000093804
188,trh,ENSDARG00000006868
189,vip,ENSDARG00000078247
190,vipb,ENSDARG00000079443
191,abhd3,ENSDARG00000018809
192,cadps2,ENSDARG00000013312
193,camta1b,ENSDARG00000007824
194,cdh13,ENSDARG00000014215
195,chodl,ENSDARG00000034528
196,gabrd,ENSDARG00000059763
197,ier5,ENSDARG00000009881
198,lama3,ENSDARG00000071462
199,sdf2l1,ENSDARG00000035631
200,cyb5r1,ENSDARG00000018966
201,dclk1a,ENSDARG00000018856
202,epha7,ENSDARG00000004635
203,fat2,ENSDARG00000018923
204,robo1,ENSDARG00000026784
205,spock1,ENSDARG00000074644
206,atp2b4,ENSDARG00000044902
207,banf1,ENSDARG00000037009
208,dclk1b,ENSDARG00000104664
209,grin1a,ENSDARG00000027828
210,grin1b,ENSDARG00000025728
211,grin2bb,ENSDARG00000030376
212,gria1a,ENSDARG00000021352
213,gria1b,ENSDARG00000032714
214,gria2b,ENSDARG00000052765
215,gria3b,ENSDARG00000037498
216,gria4a,ENSDARG00000037496
217,drd2b,ENSDARG00000011091
218,drd3,ENSDARG00000032131
219,slc6a3,ENSDARG00000004219
220,th2,ENSDARG00000038384
221,chata,ENSDARG00000015854
222,ache,ENSDARG00000031796
223,slc18a3a,ENSDARG00000006356
224,slc18a3b,ENSDARG00000107527
225,oprd1a,ENSDARG00000041660
226,oprm1,ENSDARG00000039434
227,barhl2,ENSDARG00000104361
228,bhlhe22,ENSDARG00000058039
229,bhlhe40,ENSDARG00000004060
230,ccl34b.1,ENSDARG00000093608
231,ccr9a,ENSDARG00000055186
232,clic4,ENSDARG00000022995
233,cspg5b,ENSDARG00000099793
234,cxcl12a,ENSDARG00000037116
235,dclk2a,ENSDARG00000034093
236,dnajc11a,ENSDARG00000011196
237,fbrsl1,ENSDARG00000058232
238,fkbp4,ENSDARG00000008447
239,fosaa,ENSDARG00000040135
240,fosl2,ENSDARG00000040623
241,her4.2,ENSDARG00000056729
242,id2a,ENSDARG00000055283
243,id4,ENSDARG00000045131
244,lmo3,ENSDARG00000008720
245,lmo4a,ENSDARG00000013853
246,lmo4b,ENSDARG00000054749
247,mdka,ENSDARG00000036036
248,neurod6a,ENSDARG00000040008
249,neurod6b,ENSDARG00000020794
250,prkcda,ENSDARG00000009208
251,prep,ENSDARG00000057151
252,rgs12b,ENSDARG00000036774
253,rnf34a,ENSDARG00000038300
254,roraa,ENSDARG00000031768
255,rprma,ENSDARG00000053383
256,rprml,ENSDARG00000056768
257,rtn4rl2a,ENSDARG00000052012
258,rtn4rl2b,ENSDARG00000037495
259,satb2,ENSDARG00000061885
260,socs3b,ENSDARG00000026611
261,sox11a,ENSDARG00000077811
262,stxbp1b,ENSDARG00000056036
263,sulf2b,ENSDARG00000013838
264,tgif1,ENSDARG00000059337
265,timp2b,ENSDARG00000075261
266,tnfaip8l3,ENSDARG00000088709
267,tnika,ENSDARG00000056218
268,vim,ENSDARG00000010008
269,zbtb18,ENSDARG00000028228
270,znf536,ENSDARG00000103648
271,elfn1b,ENSDARG00000074372
272,bcl11ba,ENSDARG00000062510
273,pyyb,ENSDARG00000035832
274,pyya,ENSDARG00000053449
275,slc18a2,ENSDARG00000015110
276,aanat2,ENSDARG00000079802
277,drd1b,ENSDARG00000038918
278,drd2a,ENSDARG00000056926
279,drd4a,ENSDARG00000038363
280,mao,ENSDARG00000023712
281,th,ENSDARG00000030621
282,arxa,ENSDARG00000058011
283,cd9b,ENSDARG00000016691
284,chn1,ENSDARG00000101735
285,clic5a,ENSDARG00000075993
286,creb3l1,ENSDARG00000015793
287,ebf3a,ENSDARG00000099849
288,edem1,ENSDARG00000025094
289,enc1,ENSDARG00000035398
290,etv5b,ENSDARG00000044511
291,gadd45ga,ENSDARG00000019417
292,grp,ENSDARG00000043074
293,hspa4a,ENSDARG00000004754
294,il1rapl2,ENSDARG00000037553
295,npas4a,ENSDARG00000055752
296,nptx1l,ENSDARG00000074671
297,pappa2,ENSDARG00000076020
298,pou4f2,ENSDARG00000069737
299,ppp3ca,ENSDARG00000004988
300,rhbdl3,ENSDARG00000105190
301,rspo2,ENSDARG00000079570
302,rspo3,ENSDARG00000070081
303,sat1b,ENSDARG00000032272
304,scrt1b,ENSDARG00000040214
305,sema3aa,ENSDARG00000019235
306,synpr,ENSDARG00000037587
307,syt9b,ENSDARG00000029239
308,shank3b,ENSDARG00000063054
309,tubb5,ENSDARG00000037997
310,vaspb,ENSDARG00000017105
311,gpm6ab,ENSDARG00000004621
312,cacng3b,ENSDARG00000076401
313,dgkaa,ENSDARG00000060626
314,dgkzb,ENSDARG00000076025
315,doc2b,ENSDARG00000088293
316,draxin,ENSDARG00000058256
317,foxo1a,ENSDARG00000099555
318,gdpd5b,ENSDARG00000076962
319,kaznb,ENSDARG00000006601
320,pim3,ENSDARG00000055129
321,ptprk,ENSDARG00000063416
322,ttc19,ENSDARG00000074435
323,vav3b,ENSDARG00000073713
324,gpm6aa,ENSDARG00000055455
325,csmd1a,ENSDARG00000044414
326,tle3a,ENSDARG00000002787
327,slc35g2b,ENSDARG00000045447
328,slc32a1,ENSDARG00000059775
329,rorab,ENSDARG00000001910
330,uts1,ENSDARG00000014927
331,clcn3,ENSDARG00000003269
332,prkd1,ENSDARG00000075949
333,sybu,ENSDARG00000060112
334,slc35g2a,ENSDARG00000056262
335,astn1,ENSDARG00000068323
336,dgkza,ENSDARG00000014439
